fawn,71
2minute,8
patd,8
onshare,71
imjx,6
alerian,0
mid-week,23
adam-eve,23
sowell,71
eurcad,70
rocket.wordplay,8
askew,8
suzano,0
cherrio,71
ausitor,71
hanging,27
blgw,8
woody,8
cgxef,8
letters/day,8
stop-still,8
pre-mature,8
haron,71
caner,71
over/under,51
beginning.if,8
opps.blog,8
20call,8
isaid,8
aileen,8
blast-off,8
scold,17
loss-up,8
35mb,8
originality,8
pfolio,8
hedegaard,8
audusd?any,8
justgiving,0
weeklychart,8
jarnolaine,8
15bln,19
stockguy222,6
q-z,8
knofe,71
premarket.the,8
co-operation,71
y76,23
deepwateroffshore,8
banks/financials,8
y75,71
relable,71
eugenics,8
elliottician,8
capoeira,8
appropriation,71
spaculator,0
shanegigans-but,71
taj,71
jeeeeezz,8
medicament,71
coasetr,8
fractal,27
cryolife,71
acclerating,8
it.works,71
5th-9th,26
mohrb,8
targets.alternative,8
semi-sub,71
back.getting,8
nytol,8
wooden,17
598s,8
woodel,8
doomdog,8
wednesday,75
tcbi,8
598k,71
crotch,8
the165cl,8
crm-mover,8
zzzzzz,8
hearig,8
13pip,8
infltion,8
non-violent,71
goiung,8
binladin,0
targt,23
francesco,8
decemberfuckin29th,8
scraper,8
news.just,71
sentiment-prelim,37
feasibility,71
long-long-looong,8
sooth,8
vuvuzella,8
sh1t,8
32tgt,8
targe,8
ipad/iphone/ipod,8
kodak,37
trendfollowing,8
dow10525,8
inanimate,0
dormancy,71
puts/calls,26
joell,71
2belive,0
boogard,8
hppy,8
elve,71
cooking,60
pymt,71
level/trend,8
mini-bull,23
optimer,8
jun/nov,8
localized,71
105-ster,8
teying,8
slike,8
macrotradeisdead,8
succumb,0
media/social,71
widget,47
27c,8
crouch,8
china/india,8
x-mass,8
arsehole,8
y83,23
y80,71
27k,71
eruo,23
y84,39
y85,39
chine,71
oct15,71
ching,26
454ish,8
china,76
headng,8
oct13,26
wagyu,17
affiliated,8
chino,71
wiseguy,71
finkel,8
doldrums,39
confised,8
1725k,8
uplifting,6
kacher,17
sequel/as,8
kidz,8
geeat,8
celsion,8
pastus,8
oxymoron,0
pymx,71
chopcity,8
neurologist,71
bullishgapdown,71
spotty,6
climber,0
sharemarket,71
placation,8
golden,27
topography,8
projection,27
top-ranked,8
fifth-round,71
q2.great,0
lengthen,26
score-like,8
steri,26
airball,71
sterl,39
pah-leeeze,8
stern,15
wtd-pcr,8
overrpriced,8
booktrader5,8
p42,8
bloomberg-grosss,8
dne,8
machine.a,8
dng,8
dnf,71
dna,59
p1101.53-0,8
dnc,71
dnb,23
catchy,6
etc.1033-38,71
markets/sector,8
dnn,26
transglobe,8
dnh,71
help.lol,6
inevitable,82
catcha,8
dnt,51
the100k,8
t-cell,71
music,7
therefore,56
dnr,26
effec.stim,8
fsvo,71
dnx,71
attabous,8
heclum,0
ratatat,71
13dma,8
takle,8
hivol,8
mesmerize,8
retsina,71
break/accelerator,6
yahoo,47
tradeing,71
faceted,71
meteorologist,17
excg,71
harmless,6
ninetysix,8
sfmus,8
exco,71
excl,71
unpack,71
exch,17
adventist,0
cost/money,8
intake,0
morally,6
next10,71
commentaire,71
langusihe,8
ausjpy,71
seracare,8
beely,8
locker,15
busca,8
dn0,0
soundbite,71
algos/robots,8
helicpoter,71
baselike,71
tomahawk,8
at244,8
wana,8
rythmn,8
wang,6
wand,6
wane,39
20/50day,8
unjust,6
wanh,23
time4,8
fluorite,8
latecoere,0
titanium,17
20-sma,8
nsdusd,8
feb-may,23
want,22
xm-5,8
michio,8
chainsawed.lol,8
pinto,17
117k,8
absolute,40
re/test,8
mcmuffin,71
bkgrod,6
antipate,8
travel,18
copious,8
cutback,0
callie,8
fullposition.flexibility,8
playback,0
dangerfield,6
government-related,71
divergance,23
ioer,0
cadence,71
leveraed,8
lololz,8
eurogroup,17
miin,71
goober,8
400sma,23
fookin,71
balada,71
lookimng,8
hdix,8
casino-like,8
finacially,71
2flat,71
defintly,8
hesistate,8
depth.so,71
wrong,66
ofeur,0
stipulate,8
dangerou,71
miit,71
surveillance-good,71
arranger,0
7-8min,8
hdil,8
handelsbanken,39
watching/playing/scalping,8
spumonus,6
436pm,71
inna-muzica-videoclipuri,8
lease/sale,71
seminar-my,71
supposely,71
sickening,15
tulip,0
18th,78
nonfarmpayroll,8
mmmust,71
crackin,6
nonsensical,0
romper,71
slighshot,23
dsomeone,6
erin/cnbc,8
compeition,71
stupit,6
zortology,7
strikes/expirations,26
perscription,71
oops-that,8
roll-over,6
out.worthless,6
peut,0
20more,71
calibration,8
fertelizer,6
dueck,71
bosaan,8
fin.times,8
daily/h4,8
smartmoney,0
kuer,8
fir,8
fis,8
ex-dividend,15
fiv,8
up-trend,23
fit,60
benign,0
lifeline,17
againrt,6
fix,47
ukwn,71
3150/70ss,8
bloomies,8
inap,8
secede,0
fib,1
fic,0
bulding,8
estroy,71
fig,26
4friday,8
determinsitically,8
min/5,8
neutre,8
fii,8
fin,82
fio,15
uom,37
gtting,71
sovx,71
zucker,71
twite,8
iside,8
unpeg,0
nov08,71
collge,71
trish/leisman,71
309-ish,8
consoldiation,23
ptechter,8
twits,71
cramerize,8
glutten,8
twitt,6
kidin.,8
twity,8
over-rated,6
honoree,8
suprize,71
jabronus,8
sovg,71
offficially,8
simialr,8
bravo/good,71
whacking,71
depression-hence,8
pivt,8
barton,15
foregin,71
telekom,17
froday,8
fuz,0
biggum,8
arrow,27
ingrid,71
yesterday/today,71
re-starred,71
prevous,8
kiper,17
development,38
trickery,8
madmoney,6
non-trade,8
stabiliser,8
heach,8
allah,8
osip,0
osis,71
gdxj,3
225ish,23
vxxutterlyworthless,8
isys,8
mixed-they,8
50hr,23
2day,75
ex-treasury,17
de-balling,71
react?are,8
sayle,71
batchelor,71
siza,71
beat-down,8
nov10th,8
meltdn,8
oprah,47
smirk,15
indiscretion,6
enviroment,51
bradybrown,8
mason,0
toute,0
combinatorial,71
encourage,74
noice,8
non-confirming,8
adapt,60
mid-high,8
roflmbo,51
constar,71
acct.,8
ratioradar,71
outburst,6
weely,8
39c,8
abbott,0
strato,8
murcielago,8
crbk,8
sheetrock,71
39k,71
strate,8
gameplan,71
ideas-what,8
beneth,8
39m,8
syn,8
mattter,8
psost,8
wollensky,71
kaczynskus,71
resumin,8
ub40,8
breek,8
estimate,73
ugghhh,8
universally,0
single-day,71
competer,71
445bn,0
oil/stock,8
n'sync,23
wahahahahaha,8
jumbojet,8
connive,71
takein,8
absolved,6
disturbed,6
acctg,8
wunderful,8
corner-cutting,0
mos-red,8
yester,8
sheez,8
whipster,8
dgw,8
loook,23
kft,0
breed,18
loool,8
7cup,71
slayin,8
implimentation,0
emaciated,71
kfy,8
times-cnbc,71
praseodymium,71
on/risk,8
kfc,15
chevron,37
kfn,77
280call,8
blodget,6
volititly,71
prlbm,71
syy,26
lound,71
qexx11,8
seven-time,71
ddmx,8
newsworldtoday,71
sweeeet,8
service,47
forrester,17
oldy,71
metake,8
payless,71
short-circuit,71
june/sept,8
signficantly,8
needed,8
up-down,8
master,18
commtment,71
sqwack,8
critter,17
fed/qe2,71
bears.its,8
genesis,17
am.also,8
geeesh,8
toit,71
substaintial,8
rakim,6
soluability,71
myfxbook,8
investimonial,6
resurgent,8
swish,6
20share,8
blarggggghhh,8
summercamp,8
lyndon,71
cnbcisajoke,71
ffor,71
radnor,71
gundotra,71
270,8
maglev,6
rertacement,23
cosolidation,23
nzt,8
mustattendoratleastwatchtherecord,8
ag/materials,8
exhaustng,8
pre-flashcrash,8
punishing,8
regulator,35
idle,15
euro-denom,71
sheen,15
fanron,17
nzd,39
ezone,8
feeling,12
fabublous,8
indexsp,71
nzl,71
silly/sad,8
self-destructing,8
jackkkk,71
longs,8
longr,8
ka-ching,71
spectrum,39
ixct,8
part-1,71
self-fullfiling,8
3xetf,8
day-s,8
longo,8
longn,8
increment,26
optimizator,8
grecium,8
urinate,17
longg,8
dozen,15
maj.,23
re-posted,8
courier,11
vgk,71
achievement,71
targa,8
beltway,6
reeeeeealy,8
hand.any,8
ago.you,8
vgz,23
smolensk,8
vgt,8
here-nice,8
whattarun,8
greenback,39
vgr,6
rhcp,8
45th,8
re-fi,71
ghostown,8
cl-f,8
impactexpens,71
steenbab,71
competition/margin,8
acq.rumor,71
long1,8
limitless,71
cinematic,71
4-feb-2010,8
simplify,17
mouth,36
coevr,8
steinhardt,71
tjat,8
funemployment,71
nomans,8
dailey,8
infogroup,71
lebennon,71
expound,8
comopletely,8
singer,17
deutshe,8
fnfgat,71
sakozy,71
tect,8
thaan,8
vacations/work,6
pgtdrxcz,71
profit.hold,71
4more,8
teco,6
tech,20
psst,0
teck,71
tecd,8
drwi-top,8
scream,56
majr,8
tp/sl,71
saying,6
mustsee,8
res/offers,8
padder,8
dickey,8
day-letting,8
nov23rd,8
sweetner,6
teresa,71
halpern,6
htwr,8
padded,71
62k,71
fennel,71
aud/us,8
ulcer,6
sasol,71
bobert,8
fu.k,8
talkyrbook,8
peck,8
dobson,8
movre,8
developing.bulls,23
meets/speeches,8
abde,8
kinase,71
luby,17
norcal,71
rico,6
lube,6
bliss,6
rick,13
rich,60
sox332,71
good-no,8
rice,15
rica,17
nerds.,26
plate,2
stotler,8
oppopsition,71
blvi,71
waaaaaay,8
iata,71
inmoncall,8
hellum,8
7-11,71
nikkeus,33
platt,0
elec-tech,6
48-50c,8
ideeli,71
helluv,8
65-d,8
chyron,17
globalmacro,71
marketfolly,71
euro/eurpoean,71
earthlink,71
s2-116-17,8
jaguar,59
optimise,8
super-bullish,8
rectal,8
878y9i7tgfd43t6666666ooo09p9909hyrt,8
boarder,6
pretzel,71
patch,51
bull/bear,23
approch,8
higher.why,8
ouuuttt,8
guizhou,8
hefkie,71
blagoyevich,8
stoctwits,8
pex/pvc,8
speier,6
iberium,0
newcardio,8
sensitivity,0
ldt,8
27b,8
retwet,8
pinot,6
gainsask,71
rdwr,41
link.will,71
92mg,0
sucrose,8
alternative,51
broeke,8
bullish.buyer,8
conocophillip,71
15-week,8
ah?big,8
definit,8
buyers/chasers,6
lunatic.dont,6
irp,71
lotr,71
digidi,17
irs,8
irt,6
funny-sent,8
lott,8
xvi,71
shayward,6
that/remember,8
irl,71
irm,26
iro,71
ira,69
imprimatur,71
irc,71
ire,26
irf,26
lotd,71
wage,38
redistricting,6
idea?i,71
wi/snow,71
extend,82
nature,60
2dayvwap/pivot,71
udraw,71
amelium,71
oppoirtunity,71
dowjoneindustrial,8
20/50/200dma,8
468k,71
extent,51
yahoo.finance,8
on-premise,8
german/greek,71
cur,26
infastructure,71
+11,8
+10,8
top/resistance,8
naww,8
retwee,8
+19,8
unemploy,39
lookit,8
heating,37
uktrader,71
highlands/cashiers,8
dwnnn,8
27s,8
wellington,8
lookin,77
tomarrow,6
oct10,26
now.forgot,8
edwardjone,8
lookie,71
chatterer,8
eradicate,6
kevindepew,71
rehash,51
numbnut,8
ater,8
charney,71
+50.2,8
time?are,71
nabung,8
esic,8
27x,8
positive-reuters,8
breathalise,8
basque,0
escalade,6
land/energy,71
blonde,6
action/close,8
esio,8
gooooalll,8
smackdown,39
buttload,8
premrkt,23
frb,8
fra,17
price/exchange,8
frg,8
milquetoast,71
fre,59
frd,71
union,35
elige,8
fri,26
fro,65
frn,8
frm,27
muct,8
muck,6
hahahhaha,71
much,66
sommelier,8
wyman,8
frt,8
coppolum,71
fry,2
frx,26
eataly,8
rge,6
spir,51
obese,0
trendline.watch,8
regul,0
retrospect,0
spit,15
trabajaran,8
zwdeur,0
elctio,0
cyclical,39
davy,17
hawaius,15
dave,18
mentioin,23
entrerprise,71
davo,59
imipressive,23
25march,23
spin,3
davi,15
wildcat,71
emploi,0
unecessary,71
overflight,0
bounce/volume,8
pre-employment,23
mediafax,71
remainer,8
+1.03,8
wallstreeter,8
avanir,0
floodgate,71
2wks,71
employ,59
fun.i,8
droppin,71
real-deal,8
eclectica,0
twietnam,8
prostrate,71
elaborate,6
prnewswire,0
trendwatch,0
honeslty,71
mid-may,8
oclaro,8
expat,6
kohn,17
tgthr,8
kohl,71
conditioned,8
oktob,8
expan,17
400plus,6
lindzenpalooza,6
waddell,6
area.buyout,8
controversy,6
coould,71
insatiable,0
may-240,26
jan14th,3
hone,6
memorial,60
alimentation,71
equal-weight,8
flamer,6
fanatasy,71
hono,8
welshphd,6
mummified,8
principale,0
honk,71
cover.this,8
etfcd,6
split,66
briner,8
o'night,8
codename,71
cdma-based,6
campbells,8
gbpuad,8
want.to.get.in,8
chfjpy,70
aquestion,6
issac,71
flat/scrach,8
calls/emails,8
workforce,17
dest.,71
qdoba,8
h.j.,71
wcr,8
boiler,6
supper,8
righttime,8
kalbitor,71
burqua,71
featherweight,8
downwardly,71
fabby,6
bzzzt,6
stock-for,8
furlough,0
cdx-1401,8
algun,71
hon.,8
delays-i,8
fx/equites,8
83inch,8
academic,17
mean.thanks,8
goofing,8
kidn,8
academie,8
squeezably,8
corporate,38
shnapz,8
plaque,71
pileof,8
bellow,23
weekend.was,71
felcor,71
technology.notes,8
16cent,8
????,56
g.w.,8
hatle,8
waterboard,8
visability,71
nutsack,71
prognosticate,8
68.44-which,8
liberalville,71
ingarra,0
lasso,8
hah,51
fly-by-wire,6
aapologist,71
sh-trm,8
hal,14
ham,51
han,0
hao,71
out-of-town,71
haa,6
hab,0
hac,8
had,0
advancement,8
haf,8
hag,8
jbius,8
hay,2
haz,8
dfdsf,8
muckery,71
mini-flash,71
60-74c,8
hap,6
aa1/b,71
har,0
hat,2
preciously,8
hav,18
haw,51
well-tight,8
municipal,19
makawao,0
dagan,8
support.unless,8
survival,19
online,47
adaywe,71
iswanting,8
palazzo,71
indicative,8
djm-200,71
istar,71
mcth,71
shadow,39
boxes/bases,8
"+1,163",8
chart-looking,8
positiive,71
stooopid,8
rory,6
alico,0
bernd,8
soonrt,71
bnk.rup,8
buyiung,8
alice,59
selina,8
lipitor,71
imf-driven,8
pay-go,71
getg,8
socktwits,6
restorationhard,8
sma50/200,8
e153,8
40/sh,8
eruchf,8
strategiesl,8
attorney,59
decisionmaking,8
impportant,8
yo0u,71
crowd,60
crowe,71
czech,19
trillion-plus,8
crown,17
upchannel,23
deflection,6
coommunity,8
captive,39
days.next,8
names.building,8
supply.this,17
billboard,17
fiduciary,15
cogt,23
profuct,23
imporovement,8
inlfation,8
chrasing,8
botton,8
finalnd,8
bottom,9
frus,75
lockdown,0
uncorrealted,8
wayto,8
gambale,8
holding/sold,8
golder,8
ichin,8
rollllllll,8
manufacturing/factory,26
frun,0
frum,8
treadmill,6
ecopetrol,8
birma,71
obamatv,71
completly,6
orginial,8
fsb,8
8yr,71
1targt,8
230bp,0
whales/dolphins,71
may28th,3
barcode,71
cme9535,71
et.feature,8
andersen,71
binder,8
homebuying,71
spasiba,8
shmanksgiving,8
anagram,17
may26th,3
04-feb-2010,8
email/social,6
ptsc,8
8yo,71
cavaligo,0
truism,71
aboard,8
whooooo,71
acom,8
tqnt-triquint,0
ader,8
200bln,8
nelum,71
anomalous,8
ruiz,71
today-cont,8
pullpack,8
soon.i,8
oneness,71
downstair,6
tif-shoulda,8
whoaaaaaa,8
vonage,6
aden,0
acor,26
4audusd,8
temorarily,71
adek,8
aqpproval,71
mbo,8
pre-tax,0
mbi,71
non-consol,71
bullcall,8
pharmasset,23
maxwell,8
marshall,15
honeymoon,6
mba,37
mbc,0
administer,17
s82,8
konlin,71
cannibal,8
eritrea-trained,71
mbt,26
sellstalk,71
ma/resistance,8
mbp,17
correctionist,8
mbr,0
anti-clockwise,23
good.just,8
aso,8
bombardier,0
fabric,6
tamb,8
suffice,17
diocese,8
iran/europe/syria,71
tame,39
30p,8
